learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,155.4375,1.3906267238780856E-4,100000.0,79.60000000000001,79.60000000000001,-423.0769230769225,79.60000000000001,100000.0,3458256.0
200000.0,307.609375,2.7520374259135377E-4,200000.0,79.2,79.2,-549.9999999999993,79.2,200000.0,3458256.0
300000.0,460.734375,4.1219752922188495E-4,300000.0,83.89999999999999,83.89999999999999,-265.90909090909065,83.89999999999999,300000.0,3458256.0
400000.0,614.46875,5.497364952073743E-4,400000.0,57.199999999999996,57.199999999999996,-851.1111111111104,57.199999999999996,400000.0,3458256.0
500000.0,767.578125,6.86716302880086E-4,500000.0,53.400000000000006,53.400000000000006,-891.4893617021268,53.400000000000006,500000.0,3458256.0
581012.0,889.734375,7.960037951124832E-4,581012.0,92.5,92.5,-274.9999999999995,92.5,581012.0,3458256.0
