learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,3.59375,4.5679787743008796E-7,100000.0,87.3,87.3,-225.64102564102538,87.3,481.0,16584.0
200000.0,5.703125,7.484793766505188E-7,200000.0,83.0,83.0,-431.24999999999966,83.0,427.0,15912.0
300000.0,8.03125,1.029882599444439E-6,300000.0,61.0,61.0,-786.3636363636356,61.0,285.0,16064.0
400000.0,10.171875,1.2756152621780834E-6,400000.0,71.0,71.0,-544.4444444444439,71.0,181.0,15664.0
500000.0,12.234375,1.507590253216525E-6,500000.0,71.39999999999999,71.39999999999999,-508.5106382978719,71.39999999999999,107.0,15000.0
581012.0,13.921875,1.6845217517887553E-6,581012.0,94.6,94.6,-170.0,94.6,109.0,15128.0
