learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,3.375,4.2899278923869133E-7,100000.0,87.3,87.3,-225.64102564102538,87.3,481.0,16584.0
200000.0,5.53125,7.271560995529095E-7,200000.0,83.0,83.0,-431.24999999999966,83.0,427.0,15912.0
300000.0,7.859375,1.0085593223468297E-6,300000.0,61.0,61.0,-786.3636363636356,61.0,285.0,16064.0
400000.0,9.953125,1.2489109778673284E-6,400000.0,71.0,71.0,-544.4444444444439,71.0,181.0,15664.0
500000.0,12.09375,1.489672900384499E-6,500000.0,71.39999999999999,71.39999999999999,-508.5106382978719,71.39999999999999,107.0,15000.0
581012.0,13.8125,1.6698809081895485E-6,581012.0,94.6,94.6,-170.0,94.6,109.0,15128.0
