learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,2.390625,2.4619512259960177E-8,100000.0,78.9,78.9,-441.0256410256404,78.9,100000.0,39808.0
200000.0,4.703125,4.843446529573864E-8,200000.0,52.6,52.6,-1381.2499999999986,52.6,200000.0,39808.0
300000.0,7.015625,7.224941833151711E-8,300000.0,64.3,64.3,-711.3636363636356,64.3,300000.0,39808.0
400000.0,9.3125,9.590345952245925E-8,400000.0,31.0,31.0,-1433.3333333333321,31.0,400000.0,39808.0
500000.0,11.65625,1.200402362479104E-7,500000.0,41.0,41.0,-1155.319148936169,41.0,500000.0,39808.0
581012.0,13.578125,1.3983239316278033E-7,581012.0,63.800000000000004,63.800000000000004,-1709.9999999999984,63.800000000000004,581012.0,39808.0
