learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,153.484375,1.3731530266037834E-4,100000.0,79.60000000000001,79.60000000000001,-423.0769230769225,79.60000000000001,100000.0,3458256.0
200000.0,305.9375,2.7370799410467346E-4,200000.0,79.2,79.2,-549.9999999999993,79.2,200000.0,3458256.0
300000.0,458.703125,4.1038026470535747E-4,300000.0,83.89999999999999,83.89999999999999,-265.90909090909065,83.89999999999999,300000.0,3458256.0
400000.0,612.5625,5.480310623534024E-4,400000.0,57.199999999999996,57.199999999999996,-851.1111111111104,57.199999999999996,400000.0,3458256.0
500000.0,765.609375,6.849549541948364E-4,500000.0,53.400000000000006,53.400000000000006,-891.4893617021268,53.400000000000006,500000.0,3458256.0
581012.0,887.703125,7.941865305959558E-4,581012.0,92.5,92.5,-274.9999999999995,92.5,581012.0,3458256.0
