learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,3.3125,4.210484783268637E-7,100000.0,87.3,87.3,-225.64102564102538,87.3,481.0,16584.0
200000.0,5.5625,7.321754108286566E-7,200000.0,83.0,83.0,-431.24999999999966,83.0,427.0,15912.0
300000.0,7.90625,1.015467245856093E-6,300000.0,61.0,61.0,-786.3636363636356,61.0,285.0,16064.0
400000.0,10.359375,1.297073290010707E-6,400000.0,71.0,71.0,-544.4444444444439,71.0,181.0,15664.0
500000.0,12.46875,1.534320439936386E-6,500000.0,71.39999999999999,71.39999999999999,-508.5106382978719,71.39999999999999,107.0,15000.0
581012.0,14.234375,1.7194432115906642E-6,581012.0,94.6,94.6,-170.0,94.6,109.0,15128.0
