learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,2.421875,2.4941335949632856E-8,100000.0,78.9,78.9,-441.0256410256404,78.9,100000.0,39808.0
200000.0,4.6875,4.8273553450902305E-8,200000.0,52.6,52.6,-1381.2499999999986,52.6,200000.0,39808.0
300000.0,6.984375,7.192759464184443E-8,300000.0,64.3,64.3,-711.3636363636356,64.3,300000.0,39808.0
400000.0,9.265625,9.542072398795022E-8,400000.0,31.0,31.0,-1433.3333333333321,31.0,400000.0,39808.0
500000.0,11.609375,1.1955750071340138E-7,500000.0,41.0,41.0,-1155.319148936169,41.0,500000.0,39808.0
581012.0,13.5,1.3902783393859863E-7,581012.0,63.800000000000004,63.800000000000004,-1709.9999999999984,63.800000000000004,581012.0,39808.0
