learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,3.671875,4.6672826606987255E-7,100000.0,87.3,87.3,-225.64102564102538,87.3,481.0,16584.0
200000.0,6.078125,7.994612355509566E-7,200000.0,83.0,83.0,-431.24999999999966,83.0,427.0,15912.0
300000.0,8.421875,1.082753070578393E-6,300000.0,61.0,61.0,-786.3636363636356,61.0,285.0,16064.0
400000.0,10.546875,1.3266920642409887E-6,400000.0,71.0,71.0,-544.4444444444439,71.0,181.0,15664.0
500000.0,12.6875,1.5674539867581593E-6,500000.0,71.39999999999999,71.39999999999999,-508.5106382978719,71.39999999999999,107.0,15000.0
581012.0,14.40625,1.7476619945632087E-6,581012.0,94.6,94.6,-170.0,94.6,109.0,15128.0
