learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,3.390625,4.309788669666482E-7,100000.0,87.3,87.3,-225.64102564102538,87.3,481.0,16584.0
200000.0,5.53125,7.269815735829373E-7,200000.0,83.0,83.0,-431.24999999999966,83.0,427.0,15912.0
300000.0,7.890625,1.01216202084389E-6,300000.0,61.0,61.0,-786.3636363636356,61.0,285.0,16064.0
400000.0,10.0625,1.2614820217196312E-6,400000.0,71.0,71.0,-544.4444444444439,71.0,181.0,15664.0
500000.0,12.203125,1.5022439442368016E-6,500000.0,71.39999999999999,71.39999999999999,-508.5106382978719,71.39999999999999,107.0,15000.0
581012.0,13.953125,1.68572846127467E-6,581012.0,94.6,94.6,-170.0,94.6,109.0,15128.0
