learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,40.8125,1.7702338906625905E-5,100000.0,79.60000000000001,79.60000000000001,-423.0769230769225,79.60000000000001,481.0,1493344.0
200000.0,74.09375,3.1028027296997604E-5,200000.0,50.9,50.9,-1434.3749999999986,50.9,427.0,1320576.0
300000.0,104.8125,3.9291088275300956E-5,300000.0,29.599999999999998,29.599999999999998,-1499.9999999999984,29.599999999999998,285.0,880072.0
400000.0,136.25,4.496779001783579E-5,400000.0,50.4,50.4,-1002.2222222222211,50.4,181.0,561376.0
500000.0,167.609375,4.869080206844955E-5,500000.0,45.300000000000004,45.300000000000004,-1063.8297872340415,45.300000000000004,107.0,330608.0
581012.0,200.25,5.238967886220456E-5,581012.0,86.8,86.8,-559.9999999999994,86.8,109.0,339336.0
